grid_id,external_id_type,external_id
grid.4827.9,ISNI,0000 0001 0658 8800
grid.4827.9,FundRef,501100001317
grid.4827.9,HESA,0180
grid.4827.9,UCAS,S93
grid.4827.9,UKPRN,10007855
grid.4828.6,ISNI,0000 0001 2097 0141
grid.4830.f,ISNI,0000 0004 0407 1981
grid.4830.f,FundRef,501100001721
grid.4831.e,ISNI,0000 0001 0682 2580
grid.4834.b,ISNI,0000 0004 0635 685X
grid.4836.9,ISNI,0000 0004 0633 9072
grid.4839.6,ISNI,0000 0001 2323 852X
grid.4842.a,ISNI,0000 0000 9258 5931
grid.4843.b,ISNI,0000 0001 1703 001X
grid.4858.1,ISNI,0000 0001 0208 7216
grid.4861.b,ISNI,0000 0001 0805 7253
grid.4861.b,FundRef,501100005627
grid.4862.8,ISNI,0000 0001 0729 939X
grid.4862.8,HESA,0087
grid.4862.8,UCAS,G53
grid.4862.8,UKPRN,10007833
grid.4868.2,ISNI,0000 0001 2171 1133
grid.4868.2,FundRef,501100000851
grid.4868.2,HESA,0139
grid.4868.2,UCAS,Q50
grid.4868.2,UKPRN,10007775
grid.4886.2,ISNI,0000 0001 2192 9124
grid.4886.2,FundRef,501100002674
grid.4905.8,ISNI,0000000110907325
grid.4912.e,ISNI,0000 0004 0488 7120
grid.4929.6,ISNI,0000000079738876
grid.4947.e,ISNI,0000 0004 1760 8629
grid.4970.a,ISNI,0000 0001 2188 881X
grid.4970.a,HESA,0141
grid.4970.a,UCAS,R72
grid.4970.a,UKPRN,10005553
grid.4973.9,ISNI,0000 0004 0646 7373
grid.4973.9,FundRef,501100005111
grid.4989.c,ISNI,0000 0001 2348 0746
grid.4991.5,ISNI,0000 0004 1936 8948
grid.4991.5,FundRef,501100000769
grid.4991.5,FundRef,501100004211
grid.4991.5,FundRef,501100004789
grid.4991.5,FundRef,100007718
grid.4991.5,FundRef,501100000524
grid.4991.5,FundRef,501100000645
grid.4991.5,FundRef,501100000666
grid.4991.5,FundRef,501100000696
grid.4991.5,FundRef,501100000718
grid.4991.5,FundRef,501100000719
grid.4991.5,FundRef,501100000728
grid.4991.5,FundRef,501100000744
grid.4991.5,FundRef,501100000747
grid.4991.5,FundRef,501100001622
grid.4991.5,HESA,0156
grid.4991.5,UCAS,O33
grid.4991.5,UKPRN,10007774
grid.4994.0,ISNI,0000 0001 0118 0988
grid.4994.0,FundRef,501100004585
grid.5012.6,ISNI,0000 0001 0481 6099
grid.5012.6,FundRef,501100001835
