geonames_city_id,city,nuts_level1_code,nuts_level1_name,nuts_level1_ascii_name,nuts_level2_code,nuts_level2_name,nuts_level2_ascii_name,nuts_level3_code,nuts_level3_name,nuts_level3_ascii_name,geonames_admin1_code,geonames_admin1_name,geonames_admin1_ascii_name,geonames_admin2_code,geonames_admin2_name,geonames_admin2_ascii_name
4382837,Creve Coeur,,,,,,,,,,US.MO,Missouri,Missouri,US.MO.189,Saint Louis County,Saint Louis County
2636331,Tadworth,UKJ,South East (England),South East (England),UKJ2,"Surrey, East and West Sussex","Surrey, East and West Sussex",UKJ23,Surrey,Surrey,GB.ENG,England,England,GB.ENG.N7,Surrey,Surrey
2130452,Chitose,,,,,,,,,,JP.12,Hokkaidō,Hokkaido,,,
5001929,Midland,,,,,,,,,,US.MI,Michigan,Michigan,US.MI.111,Midland County,Midland County
4033936,Papeete,,,,,,,,,,PF.01,Îles du Vent,Iles du Vent,,,
2791315,Merelbeke,BE2,Vlaams Gewest,Vlaams Gewest,BE23,Prov. Oost-Vlaanderen,Prov. Oost-Vlaanderen,BE234,Arr. Gent,Arr. Gent,BE.VLG,Flemish Region,Flemish Region,BE.VLG.VOV,Provincie Oost-Vlaanderen,Provincie Oost-Vlaanderen
2964540,Dundalk,IE0,Ireland,Ireland,IE01,"Border, Midland and Western","Border, Midland and Western",IE011,Border,Border,IE.L,Leinster,Leinster,IE.L.19,Lú,Lu
504042,Pushchino,,,,,,,,,,RU.47,Moskovskaya,Moskovskaya,,,
4178003,Weston,,,,,,,,,,US.FL,Florida,Florida,US.FL.011,Broward County,Broward County
4493316,Statesville,,,,,,,,,,US.NC,North Carolina,North Carolina,US.NC.097,Iredell County,Iredell County
3180861,Candiolo,ITC,Nord-Ovest,Nord-Ovest,ITC1,Piemonte,Piemonte,ITC11,Torino,Torino,IT.12,Piedmont,Piedmont,IT.12.TO,Provincia di Torino,Provincia di Torino
4561542,Strasburg,,,,,,,,,,US.PA,Pennsylvania,Pennsylvania,US.PA.071,Lancaster County,Lancaster County
4555423,Wilburton,,,,,,,,,,US.OK,Oklahoma,Oklahoma,US.OK.077,Latimer County,Latimer County
5002344,Monroe,,,,,,,,,,US.MI,Michigan,Michigan,US.MI.115,Monroe County,Monroe County
2953389,Bad Neustadt an der Saale,DE2,Bayern,Bayern,DE26,Unterfranken,Unterfranken,DE266,Rhön-Grabfeld,Rhon-Grabfeld,DE.02,Bavaria,Bavaria,DE.02.096,Regierungsbezirk Unterfranken,Regierungsbezirk Unterfranken
2660643,Genolier,CH0,Schweiz/Suisse/Svizzera,Schweiz/Suisse/Svizzera,CH01,Région lémanique,Region lemanique,CH011,Vaud,Vaud,CH.VD,Vaud,Vaud,CH.VD.2228,District de Nyon,District de Nyon
5190089,Fort Washington,,,,,,,,,,US.PA,Pennsylvania,Pennsylvania,US.PA.091,Montgomery County,Montgomery County
4931482,Brookline,,,,,,,,,,US.MA,Massachusetts,Massachusetts,US.MA.021,Norfolk County,Norfolk County
2997712,Longjumeau,FR1,Île de France,Ile de France,FR10,Île de France,Ile de France,FR104,Essonne,Essonne,FR.A8,Île-de-France,Ile-de-France,FR.A8.91,Département de l'Essonne,Departement de l'Essonne
5206666,Plymouth Meeting,,,,,,,,,,US.PA,Pennsylvania,Pennsylvania,US.PA.091,Montgomery County,Montgomery County
2186280,Nelson,,,,,,,,,,NZ.F5,Nelson,Nelson,NZ.F5.052,Nelson City,Nelson City
5358705,Huntington Beach,,,,,,,,,,US.CA,California,California,US.CA.059,Orange County,Orange County
5408076,West Hollywood,,,,,,,,,,US.CA,California,California,US.CA.037,Los Angeles County,Los Angeles County
5017385,Baudette,,,,,,,,,,US.MN,Minnesota,Minnesota,US.MN.077,Lake of the Woods County,Lake of the Woods County
4634662,Kingsport,,,,,,,,,,US.TN,Tennessee,Tennessee,US.TN.163,Sullivan County,Sullivan County
5364940,Lancaster,,,,,,,,,,US.CA,California,California,US.CA.037,Los Angeles County,Los Angeles County
5194302,Horsham,,,,,,,,,,US.PA,Pennsylvania,Pennsylvania,US.PA.091,Montgomery County,Montgomery County
3523034,Montecillo,,,,,,,,,,MX.15,México,Mexico,,,
532477,Lyubuchany,,,,,,,,,,RU.47,Moskovskaya,Moskovskaya,,,
5186266,Dallas,,,,,,,,,,US.PA,Pennsylvania,Pennsylvania,US.PA.079,Luzerne County,Luzerne County
4904094,Northfield,,,,,,,,,,US.IL,Illinois,Illinois,US.IL.031,Cook County,Cook County
5106548,Woodcliff Lake,,,,,,,,,,US.NJ,New Jersey,New Jersey,US.NJ.003,Bergen County,Bergen County
4983989,Allegan,,,,,,,,,,US.MI,Michigan,Michigan,US.MI.005,Allegan County,Allegan County
5188474,Elizabethtown,,,,,,,,,,US.PA,Pennsylvania,Pennsylvania,US.PA.071,Lancaster County,Lancaster County
4933002,Chicopee,,,,,,,,,,US.MA,Massachusetts,Massachusetts,US.MA.013,Hampden County,Hampden County
3114965,Ourense,ES1,Noroeste,Noroeste,ES11,Galicia,Galicia,ES113,Ourense,Ourense,ES.58,Galicia,Galicia,ES.58.OR,Provincia de Ourense,Provincia de Ourense
5100776,Mahwah,,,,,,,,,,US.NJ,New Jersey,New Jersey,US.NJ.003,Bergen County,Bergen County
3172768,Monterotondo,ITI,Centro (IT),Centro (IT),ITI4,Lazio,Lazio,ITI43,Roma,Roma,IT.07,Latium,Latium,IT.07.RM,Provincia di Roma,Provincia di Roma
5352423,Glendale,,,,,,,,,,US.CA,California,California,US.CA.037,Los Angeles County,Los Angeles County
2922342,Gatersleben,DEE,Sachsen-Anhalt,Sachsen-Anhalt,DEE0,Sachsen-Anhalt,Sachsen-Anhalt,DEE0C,Salzland,Salzland,DE.14,Saxony-Anhalt,Saxony-Anhalt,,,
5380668,Palm Springs,,,,,,,,,,US.CA,California,California,US.CA.065,Riverside County,Riverside County
568808,Chernogolovka,,,,,,,,,,RU.47,Moskovskaya,Moskovskaya,,,
760924,Puławy,PL3,Region Wschodni,Region Wschodni,PL31,Lubelskie,Lubelskie,PL315,Pulawski,Pulawski,PL.75,Lublin Voivodeship,Lublin Voivodeship,PL.75.0614,Powiat puławski,Powiat pulawski
1262801,Morādābād,,,,,,,,,,IN.36,Uttar Pradesh,Uttar Pradesh,,,
2961123,Tralee,IE0,Ireland,Ireland,IE02,Southern and Eastern,Southern and Eastern,IE025,South-West (IE),South-West (IE),IE.M,Munster,Munster,IE.M.11,Ciarraí,Ciarrai
1842225,Gumi,,,,,,,,,,KR.14,Gyeongsangbuk-do,Gyeongsangbuk-do,,,
2171707,Chatswood,,,,,,,,,,AU.02,New South Wales,New South Wales,AU.02.18250,Willoughby,Willoughby
3457692,Marília,,,,,,,,,,BR.27,São Paulo,Sao Paulo,BR.27.3529005,Marília,Marilia
3448639,São José do Rio Preto,,,,,,,,,,BR.27,São Paulo,Sao Paulo,BR.27.3549805,São José do Rio Preto,Sao Jose Do Rio Preto
3104707,Villaviciosa,ES1,Noroeste,Noroeste,ES12,Principado de Asturias,Principado de Asturias,ES120,Asturias,Asturias,ES.34,Asturias,Asturias,ES.34.O,Province of Asturias,Province of Asturias
3028409,Castanet-Tolosan,FR6,Sud-Ouest,Sud-Ouest,FR62,Midi-Pyrénées,Midi-Pyrenees,FR623,Haute-Garonne,Haute-Garonne,FR.B3,Midi-Pyrénées,Midi-Pyrenees,FR.B3.31,Département de la Haute-Garonne,Departement de la Haute-Garonne
2990919,Narbonne,FR8,Méditerranée,Mediterranee,FR81,Languedoc-Roussillon,Languedoc-Roussillon,FR811,Aude,Aude,FR.A9,Languedoc-Roussillon,Languedoc-Roussillon,FR.A9.11,Département de l'Aude,Departement de l'Aude
7260623,Redstone Arsenal,,,,,,,,,,US.AL,Alabama,Alabama,US.AL.089,Madison County,Madison County
