grid_id,relationship_type,related_grid_id
grid.4973.9,Child,grid.419352.8
grid.4989.c,Affiliated,grid.411371.1
grid.4989.c,Affiliated,grid.50545.31
grid.4989.c,Affiliated,grid.412157.4
grid.4989.c,Affiliated,grid.418119.4
grid.4989.c,Affiliated,grid.412209.c
grid.4991.5,Affiliated,grid.415084.c
grid.4991.5,Affiliated,grid.415719.f
grid.4991.5,Affiliated,grid.8348.7
grid.4991.5,Affiliated,grid.173746.0
grid.4991.5,Affiliated,grid.454382.c
grid.4991.5,Affiliated,grid.451190.8
grid.4991.5,Affiliated,grid.416938.1
grid.4991.5,Affiliated,grid.450001.0
grid.5012.6,Affiliated,grid.41619.3b
grid.5012.6,Affiliated,grid.413532.2
grid.5012.6,Affiliated,grid.412966.e
grid.5012.6,Affiliated,grid.414711.6
grid.5018.c,Child,grid.417760.3
grid.5018.c,Child,grid.423969.3
grid.5018.c,Child,grid.418201.e
grid.5018.c,Child,grid.418200.f
grid.5018.c,Child,grid.418331.c
grid.5018.c,Child,grid.425416.0
grid.5018.c,Child,grid.425415.3
grid.5018.c,Child,grid.424848.6
grid.5018.c,Child,grid.418467.8
grid.5018.c,Child,grid.4836.9
grid.5018.c,Child,grid.435229.b
grid.5018.c,Child,grid.424971.d
grid.5018.c,Child,grid.418861.2
grid.5018.c,Child,grid.425093.9
grid.5018.c,Child,grid.418732.b
grid.5018.c,Child,grid.425127.7
grid.5018.c,Child,grid.419115.9
grid.5018.c,Child,grid.419116.a
grid.5018.c,Child,grid.417756.6
grid.5018.c,Child,grid.424886.4
grid.5018.c,Child,grid.424945.a
grid.5018.c,Child,grid.424949.6
grid.5018.c,Child,grid.429187.1
grid.5018.c,Child,grid.419012.f
grid.5018.c,Child,grid.452102.0
grid.5018.c,Child,grid.419762.f
grid.5018.c,Child,grid.440521.6
grid.5018.c,Child,grid.425512.5
grid.5018.c,Child,grid.425578.9
grid.5018.c,Child,grid.425949.7
grid.5018.c,Child,grid.419766.b
grid.5072.0,Child,grid.424926.f
grid.5110.5,Affiliated,grid.411580.9
grid.5115.0,Affiliated,grid.120073.7
grid.5117.2,Affiliated,grid.27530.33
grid.5132.5,Affiliated,grid.10419.3d
grid.5133.4,Affiliated,grid.411490.9
grid.5169.b,Parent,grid.423685.e
grid.5216.0,Affiliated,grid.411565.2
grid.5239.d,Affiliated,grid.411057.6
grid.5239.d,Affiliated,grid.411280.e
grid.5252.0,Affiliated,grid.419801.5
grid.5252.0,Affiliated,grid.411095.8
grid.5253.1,Affiliated,grid.7700.0
grid.5254.6,Affiliated,grid.413660.6
grid.5254.6,Affiliated,grid.411702.1
grid.5254.6,Affiliated,grid.4973.9
grid.5254.6,Affiliated,grid.415046.2
grid.5254.6,Affiliated,grid.411646.0
grid.5254.6,Affiliated,grid.411719.b
grid.5254.6,Affiliated,grid.411900.d
grid.5254.6,Affiliated,grid.414289.2
grid.5254.6,Affiliated,grid.411905.8
grid.5254.6,Affiliated,grid.414092.a
grid.5254.6,Affiliated,grid.413717.7
grid.5254.6,Affiliated,grid.416369.f
grid.5254.6,Affiliated,grid.7143.1
grid.5254.6,Affiliated,grid.416059.f
grid.5268.9,Affiliated,grid.411086.a
grid.5284.b,Affiliated,grid.411414.5
grid.5288.7,Affiliated,grid.414029.a
grid.5288.7,Affiliated,grid.410436.4
grid.5288.7,Affiliated,grid.410404.5
